"trial_number","mean_RT","sd_RT","n","se","upper","lower","model","fit"
22,2549.48231707317,1514.34717541411,82,167.231669588113,2716.71398666128,2382.25064748506,"softmax(Q) + gaze",2486.07386714566
22,2549.48231707317,1514.34717541411,82,167.231669588113,2716.71398666128,2382.25064748506,"softmax(Q + gaze)",2468.9242126834
23,2727.02397590361,1894.21527603278,83,207.917138034905,2934.94111393852,2519.10683786871,"Q",2474.89969892496
23,2727.02397590361,1894.21527603278,83,207.917138034905,2934.94111393852,2519.10683786871,"Q * gaze",2542.36301938034
23,2727.02397590361,1894.21527603278,83,207.917138034905,2934.94111393852,2519.10683786871,"Q + gaze",2436.69456212123
23,2727.02397590361,1894.21527603278,83,207.917138034905,2934.94111393852,2519.10683786871,"softmax(Q)",2468.45500433521
23,2727.02397590361,1894.21527603278,83,207.917138034905,2934.94111393852,2519.10683786871,"softmax(Q * gaze)",2451.25915370823
23,2727.02397590361,1894.21527603278,83,207.917138034905,2934.94111393852,2519.10683786871,"softmax(Q) * gaze",2562.24252643251
23,2727.02397590361,1894.21527603278,83,207.917138034905,2934.94111393852,2519.10683786871,"softmax(Q) + gaze",2429.51926602471
23,2727.02397590361,1894.21527603278,83,207.917138034905,2934.94111393852,2519.10683786871,"softmax(Q + gaze)",2457.27626285517
24,2584.51313253012,1358.93784413212,83,149.162806833147,2733.67593936327,2435.35032569697,"Q",2470.82264225992
24,2584.51313253012,1358.93784413212,83,149.162806833147,2733.67593936327,2435.35032569697,"Q * gaze",2634.94374047749
24,2584.51313253012,1358.93784413212,83,149.162806833147,2733.67593936327,2435.35032569697,"Q + gaze",2482.64355285157
24,2584.51313253012,1358.93784413212,83,149.162806833147,2733.67593936327,2435.35032569697,"softmax(Q)",2478.27852510161
24,2584.51313253012,1358.93784413212,83,149.162806833147,2733.67593936327,2435.35032569697,"softmax(Q * gaze)",2465.72433910962
24,2584.51313253012,1358.93784413212,83,149.162806833147,2733.67593936327,2435.35032569697,"softmax(Q) * gaze",2710.93983663796
24,2584.51313253012,1358.93784413212,83,149.162806833147,2733.67593936327,2435.35032569697,"softmax(Q) + gaze",2486.82037802717
24,2584.51313253012,1358.93784413212,83,149.162806833147,2733.67593936327,2435.35032569697,"softmax(Q + gaze)",2511.61294318009
25,2620.92817073171,1511.11983894794,82,166.875269896997,2787.8034406287,2454.05290083471,"Q",2524.69429578862
25,2620.92817073171,1511.11983894794,82,166.875269896997,2787.8034406287,2454.05290083471,"Q * gaze",2618.52539373913
25,2620.92817073171,1511.11983894794,82,166.875269896997,2787.8034406287,2454.05290083471,"Q + gaze",2494.2730083612
25,2620.92817073171,1511.11983894794,82,166.875269896997,2787.8034406287,2454.05290083471,"softmax(Q)",2451.36430792327
25,2620.92817073171,1511.11983894794,82,166.875269896997,2787.8034406287,2454.05290083471,"softmax(Q * gaze)",2441.06835577896
25,2620.92817073171,1511.11983894794,82,166.875269896997,2787.8034406287,2454.05290083471,"softmax(Q) * gaze",2568.11958336585
25,2620.92817073171,1511.11983894794,82,166.875269896997,2787.8034406287,2454.05290083471,"softmax(Q) + gaze",2440.27655257124
25,2620.92817073171,1511.11983894794,82,166.875269896997,2787.8034406287,2454.05290083471,"softmax(Q + gaze)",2465.27891935193
26,2270.58580246914,1155.30921817155,81,128.36769090795,2398.95349337709,2142.21811156119,"Q",2481.26757215054
26,2270.58580246914,1155.30921817155,81,128.36769090795,2398.95349337709,2142.21811156119,"Q * gaze",2470.62880714744
26,2270.58580246914,1155.30921817155,81,128.36769090795,2398.95349337709,2142.21811156119,"Q + gaze",2421.84813594223
26,2270.58580246914,1155.30921817155,81,128.36769090795,2398.95349337709,2142.21811156119,"softmax(Q)",2451.17473102864
26,2270.58580246914,1155.30921817155,81,128.36769090795,2398.95349337709,2142.21811156119,"softmax(Q * gaze)",2400.39029978856
26,2270.58580246914,1155.30921817155,81,128.36769090795,2398.95349337709,2142.21811156119,"softmax(Q) * gaze",2505.74620119882
26,2270.58580246914,1155.30921817155,81,128.36769090795,2398.95349337709,2142.21811156119,"softmax(Q) + gaze",2410.49482199944
26,2270.58580246914,1155.30921817155,81,128.36769090795,2398.95349337709,2142.21811156119,"softmax(Q + gaze)",2415.65140327657
27,2616.1243902439,1771.31565668852,82,195.609091128382,2811.73348137228,2420.51529911552,"Q",2438.2816162689
27,2616.1243902439,1771.31565668852,82,195.609091128382,2811.73348137228,2420.51529911552,"Q * gaze",2556.21492988629
27,2616.1243902439,1771.31565668852,82,195.609091128382,2811.73348137228,2420.51529911552,"Q + gaze",2465.84486944941
27,2616.1243902439,1771.31565668852,82,195.609091128382,2811.73348137228,2420.51529911552,"softmax(Q)",2421.65463752291
27,2616.1243902439,1771.31565668852,82,195.609091128382,2811.73348137228,2420.51529911552,"softmax(Q * gaze)",2410.39419965322
27,2616.1243902439,1771.31565668852,82,195.609091128382,2811.73348137228,2420.51529911552,"softmax(Q) * gaze",2552.61598629065
27,2616.1243902439,1771.31565668852,82,195.609091128382,2811.73348137228,2420.51529911552,"softmax(Q) + gaze",2437.52844918044
27,2616.1243902439,1771.31565668852,82,195.609091128382,2811.73348137228,2420.51529911552,"softmax(Q + gaze)",2403.1974557511
28,2451.45695121951,1512.82968617001,82,167.064090935086,2618.5210421546,2284.39286028443,"Q",2477.81858393705
28,2451.45695121951,1512.82968617001,82,167.064090935086,2618.5210421546,2284.39286028443,"Q * gaze",2577.51041624444
28,2451.45695121951,1512.82968617001,82,167.064090935086,2618.5210421546,2284.39286028443,"Q + gaze",2460.07272516474
28,2451.45695121951,1512.82968617001,82,167.064090935086,2618.5210421546,2284.39286028443,"softmax(Q)",2469.27680349256
28,2451.45695121951,1512.82968617001,82,167.064090935086,2618.5210421546,2284.39286028443,"softmax(Q * gaze)",2421.15811191969
28,2451.45695121951,1512.82968617001,82,167.064090935086,2618.5210421546,2284.39286028443,"softmax(Q) * gaze",2518.92846464188
28,2451.45695121951,1512.82968617001,82,167.064090935086,2618.5210421546,2284.39286028443,"softmax(Q) + gaze",2409.89530863953
28,2451.45695121951,1512.82968617001,82,167.064090935086,2618.5210421546,2284.39286028443,"softmax(Q + gaze)",2393.87381831477
29,2615.50146341463,1554.25984336011,82,171.639286419109,2787.14074983374,2443.86217699553,"Q",2486.28180099314
29,2615.50146341463,1554.25984336011,82,171.639286419109,2787.14074983374,2443.86217699553,"Q * gaze",2582.07604320037
29,2615.50146341463,1554.25984336011,82,171.639286419109,2787.14074983374,2443.86217699553,"Q + gaze",2461.28026386576
