"subject","gaze_beta","model","gaze_effect","fitted_effect"
16,0.140560086748308,"softmax(Q)",0,-0.0233333333333333
16,0.140560086748308,"softmax(Q * gaze)",0,0.385
16,0.140560086748308,"softmax(Q) * gaze",0,0.214166666666667
16,0.140560086748308,"softmax(Q) + gaze",0,0.0558333333333333
16,0.140560086748308,"softmax(Q + gaze)",0,0.0825
17,0.28311626364569,"Q",0.416666666666667,-0.0016666666666667
17,0.28311626364569,"Q * gaze",0.416666666666667,0.623333333333333
17,0.28311626364569,"Q + gaze",0.416666666666667,0.356666666666667
17,0.28311626364569,"softmax(Q)",0.416666666666667,-0.0016666666666667
17,0.28311626364569,"softmax(Q * gaze)",0.416666666666667,0.394166666666667
17,0.28311626364569,"softmax(Q) * gaze",0.416666666666667,0.605833333333333
17,0.28311626364569,"softmax(Q) + gaze",0.416666666666667,0.369166666666667
17,0.28311626364569,"softmax(Q + gaze)",0.416666666666667,0.39
18,0.216857908814431,"Q",0.583333333333333,0.00749999999999995
18,0.216857908814431,"Q * gaze",0.583333333333333,0.584166666666667
18,0.216857908814431,"Q + gaze",0.583333333333333,0.339166666666667
18,0.216857908814431,"softmax(Q)",0.583333333333333,0.0258333333333334
18,0.216857908814431,"softmax(Q * gaze)",0.583333333333333,0.4925
18,0.216857908814431,"softmax(Q) * gaze",0.583333333333333,0.531666666666667
18,0.216857908814431,"softmax(Q) + gaze",0.583333333333333,0.209166666666667
18,0.216857908814431,"softmax(Q + gaze)",0.583333333333333,0.36
19,0.404308467332064,"Q",0.666666666666667,0.109166666666667
19,0.404308467332064,"Q * gaze",0.666666666666667,0.8075
19,0.404308467332064,"Q + gaze",0.666666666666667,0.65
19,0.404308467332064,"softmax(Q)",0.666666666666667,0.0841666666666667
19,0.404308467332064,"softmax(Q * gaze)",0.666666666666667,0.8325
19,0.404308467332064,"softmax(Q) * gaze",0.666666666666667,0.7475
19,0.404308467332064,"softmax(Q) + gaze",0.666666666666667,0.5575
19,0.404308467332064,"softmax(Q + gaze)",0.666666666666667,0.700833333333333
20,0.392108724096565,"Q",0.75,0.175833333333333
20,0.392108724096565,"Q * gaze",0.75,0.656666666666667
20,0.392108724096565,"Q + gaze",0.75,0.538333333333333
20,0.392108724096565,"softmax(Q)",0.75,0.235833333333333
20,0.392108724096565,"softmax(Q * gaze)",0.75,0.703333333333333
20,0.392108724096565,"softmax(Q) * gaze",0.75,0.643333333333333
20,0.392108724096565,"softmax(Q) + gaze",0.75,0.501666666666667
20,0.392108724096565,"softmax(Q + gaze)",0.75,0.650833333333333
21,0.246503396381718,"Q",0.333333333333333,-0.0216666666666667
21,0.246503396381718,"Q * gaze",0.333333333333333,0.3825
21,0.246503396381718,"Q + gaze",0.333333333333333,0.225
21,0.246503396381718,"softmax(Q)",0.333333333333333,0.0575000000000001
21,0.246503396381718,"softmax(Q * gaze)",0.333333333333333,0.380833333333333
21,0.246503396381718,"softmax(Q) * gaze",0.333333333333333,0.226666666666667
21,0.246503396381718,"softmax(Q) + gaze",0.333333333333333,0.135
21,0.246503396381718,"softmax(Q + gaze)",0.333333333333333,0.26
23,0.0523987592542984,"Q",0.0833333333333334,0.0333333333333333
23,0.0523987592542984,"Q * gaze",0.0833333333333334,0.373333333333333
23,0.0523987592542984,"Q + gaze",0.0833333333333334,0.1625
23,0.0523987592542984,"softmax(Q)",0.0833333333333334,-0.025
