"subject","acc","model","fit"
59,0.866666666666667,"Q",0.679666666666667
59,0.866666666666667,"Q * gaze",0.714666666666667
59,0.866666666666667,"Q + gaze",0.718333333333333
59,0.866666666666667,"softmax(Q)",0.781333333333334
59,0.866666666666667,"softmax(Q * gaze)",0.8745
59,0.866666666666667,"softmax(Q) * gaze",0.7865
59,0.866666666666667,"softmax(Q) + gaze",0.818666666666667
60,0.65,"Q",0.687166666666667
60,0.65,"Q * gaze",0.625666666666666
60,0.65,"Q + gaze",0.650333333333333
60,0.65,"softmax(Q)",0.682666666666667
60,0.65,"softmax(Q * gaze)",0.76
60,0.65,"softmax(Q) * gaze",0.6385
60,0.65,"softmax(Q) + gaze",0.675
61,0.7,"Q",0.6565
61,0.7,"Q * gaze",0.631
61,0.7,"Q + gaze",0.630166666666667
61,0.7,"softmax(Q)",0.721833333333334
61,0.7,"softmax(Q * gaze)",0.719666666666667
61,0.7,"softmax(Q) * gaze",0.715333333333333
61,0.7,"softmax(Q) + gaze",0.708166666666666
62,0.516666666666667,"Q",0.5095
62,0.516666666666667,"Q * gaze",0.5035
62,0.516666666666667,"Q + gaze",0.504333333333332
62,0.516666666666667,"softmax(Q)",0.5265
62,0.516666666666667,"softmax(Q * gaze)",0.586833333333333
62,0.516666666666667,"softmax(Q) * gaze",0.507166666666667
62,0.516666666666667,"softmax(Q) + gaze",0.535333333333333
63,0.8,"Q",0.7075
63,0.8,"Q * gaze",0.707
63,0.8,"Q + gaze",0.7105
63,0.8,"softmax(Q)",0.771166666666667
63,0.8,"softmax(Q * gaze)",0.845666666666667
63,0.8,"softmax(Q) * gaze",0.775333333333333
63,0.8,"softmax(Q) + gaze",0.818333333333333
64,0.75,"Q",0.7195
64,0.75,"Q * gaze",0.741166666666666
64,0.75,"Q + gaze",0.717666666666667
64,0.75,"softmax(Q)",0.793
64,0.75,"softmax(Q * gaze)",0.811833333333333
64,0.75,"softmax(Q) * gaze",0.752333333333333
64,0.75,"softmax(Q) + gaze",0.782
65,0.65,"Q",0.660833333333333
65,0.65,"Q * gaze",0.527333333333333
65,0.65,"Q + gaze",0.664
65,0.65,"softmax(Q)",0.694833333333334
65,0.65,"softmax(Q * gaze)",0.534666666666667
65,0.65,"softmax(Q) * gaze",0.555666666666667
65,0.65,"softmax(Q) + gaze",0.702166666666667
66,0.5,"Q",0.517333333333333
66,0.5,"Q * gaze",0.540166666666667
66,0.5,"Q + gaze",0.5445
66,0.5,"softmax(Q)",0.527666666666667
66,0.5,"softmax(Q * gaze)",0.561
66,0.5,"softmax(Q) * gaze",0.541666666666667
66,0.5,"softmax(Q) + gaze",0.535333333333333
67,0.55,"Q",0.523999999999999
67,0.55,"Q * gaze",0.541666666666667
67,0.55,"Q + gaze",0.542333333333334
67,0.55,"softmax(Q)",0.538333333333333
67,0.55,"softmax(Q * gaze)",0.519666666666667
67,0.55,"softmax(Q) * gaze",0.538666666666667
67,0.55,"softmax(Q) + gaze",0.562166666666667
68,0.733333333333333,"Q",0.636666666666667
68,0.733333333333333,"Q * gaze",0.615666666666666
68,0.733333333333333,"Q + gaze",0.633000000000001
68,0.733333333333333,"softmax(Q)",0.664
68,0.733333333333333,"softmax(Q * gaze)",0.698666666666667
68,0.733333333333333,"softmax(Q) * gaze",0.657166666666667
68,0.733333333333333,"softmax(Q) + gaze",0.715333333333333
69,0.9,"Q",0.793833333333335
69,0.9,"Q * gaze",0.762
69,0.9,"Q + gaze",0.786
69,0.9,"softmax(Q)",0.924333333333333
69,0.9,"softmax(Q * gaze)",0.869166666666667
69,0.9,"softmax(Q) * gaze",0.8765
69,0.9,"softmax(Q) + gaze",0.892333333333333
70,0.866666666666667,"Q",0.772833333333333
70,0.866666666666667,"Q * gaze",0.7305
70,0.866666666666667,"Q + gaze",0.756166666666667
70,0.866666666666667,"softmax(Q)",0.829666666666667
70,0.866666666666667,"softmax(Q * gaze)",0.759333333333333
70,0.866666666666667,"softmax(Q) * gaze",0.824
70,0.866666666666667,"softmax(Q) + gaze",0.850166666666667
71,0.75,"Q",0.677833333333333
