"subject","trial_number","block","context","left_index","right_index","correct_resp","CHOICE_KEY","RT","left_outcome","right_outcome","chosen_option","EV_left","EV_right","correct_option","correct","choice","choice_id","pre_fix_left","pre_fix_right"
41,65,"learning",4,7,8,"right","Right",1769.83,34,32,8,33,36,7,1,8,2,0.160936356986101,0.839063643013899
41,66,"learning",1,1,2,"right","Left",2011.32,16,18,1,15,18,1,0,1,1,0.799319727891156,0.200680272108844
41,67,"learning",3,6,5,"left","Right",1334.12,32,26,5,30,27,5,0,5,2,0,1
41,68,"learning",4,8,7,"left","Left",1881.09,36,34,8,36,33,7,1,8,1,0.59262229350441,0.407377706495589
41,69,"learning",3,6,5,"left","Right",3738.96,32,28,5,30,27,5,0,5,2,0.203125,0.796875
41,70,"learning",2,3,4,"right","Left",2334.94,22,24,3,21,24,3,0,3,1,0.747596153846154,0.252403846153846
41,71,"learning",1,2,1,"left","Left",2529.86,19,15,2,18,15,1,1,2,1,0.596638655462185,0.403361344537815
41,72,"learning",4,8,7,"left","Right",3650.11,38,31,7,36,33,7,0,7,2,0.191176470588235,0.808823529411765
41,73,"learning",3,5,6,"right","Left",1547.22,24,29,5,27,30,5,0,5,1,1,0
41,74,"learning",4,7,8,"right","Right",2715.68,30,39,8,33,36,7,1,8,2,0.231884057971014,0.768115942028986
41,75,"learning",1,2,1,"left","Left",1457.14,18,12,2,18,15,1,1,2,1,0.670840787119857,0.329159212880143
41,76,"learning",4,7,8,"right","Left",2340.47,37,35,7,33,36,7,0,7,1,0.570418006430868,0.429581993569132
41,77,"learning",1,2,1,"left","Left",1276.63,20,16,2,18,15,1,1,2,1,0.690052356020942,0.309947643979058
41,78,"learning",3,5,6,"right","Left",2915.96,28,30,5,27,30,5,0,5,1,0.489711934156379,0.510288065843621
41,79,"learning",2,3,4,"right","Left",7607.89,22,23,3,21,24,3,0,3,1,0.717715959004392,0.282284040995608
41,80,"learning",1,2,1,"left","Left",3200.54,20,13,2,18,15,1,1,2,1,0.611548556430446,0.388451443569554
41,81,"learning",2,4,3,"left","Right",2057.24,26,23,3,24,21,3,0,3,2,0.366666666666667,0.633333333333333
41,82,"learning",3,5,6,"right","Left",4324.64,28,26,5,27,30,5,0,5,1,1,0
41,83,"learning",3,5,6,"right","Left",942.32,28,29,5,27,30,5,0,5,1,1,0
41,84,"learning",2,4,3,"left","Right",1130.15,26,22,3,24,21,3,0,3,2,0,1
41,85,"learning",2,3,4,"right","Left",1169.48,22,24,3,21,24,3,0,3,1,1,0
41,86,"learning",2,4,3,"left","Left",4079.51,24,18,4,24,21,3,1,4,1,0.522898842476095,0.477101157523905
41,87,"learning",1,2,1,"left","Left",1018.66,18,14,2,18,15,1,1,2,1,1,0
41,88,"learning",3,5,6,"right","Right",2321.3,24,28,6,27,30,5,1,6,2,0.356353591160221,0.643646408839779
41,89,"learning",1,1,2,"right","Right",1612.81,17,19,2,15,18,1,1,2,2,0.476439790575916,0.523560209424084
41,90,"learning",4,7,8,"right","Left",1710.21,34,37,7,33,36,7,0,7,1,0.648173207036536,0.351826792963464
41,91,"learning",1,2,1,"left","Left",1183.47,20,14,2,18,15,1,1,2,1,0.367055771725032,0.632944228274968
41,92,"learning",3,5,6,"right","Left",4513.17,28,31,5,27,30,5,0,5,1,0.603305785123967,0.396694214876033
41,93,"learning",1,1,2,"right","Right",993.57,16,19,2,15,18,1,1,2,2,0.186195826645265,0.813804173354735
41,94,"learning",1,2,1,"left","Left",5706.2,17,15,2,18,15,1,1,2,1,1,0
41,95,"learning",3,5,6,"right","Left",1306.91,24,33,5,27,30,5,0,5,1,0.618160651920838,0.381839348079162
41,96,"learning",2,3,4,"right","Left",1020.39,23,25,3,21,24,3,0,3,1,0.611464968152866,0.388535031847134
41,97,"learning",1,1,2,"right","Right",972.05,16,19,2,15,18,1,1,2,2,0.272592592592593,0.727407407407407
41,98,"learning",3,6,5,"left","Right",6732.36,30,28,5,30,27,5,0,5,2,0,1
41,99,"learning",2,3,4,"right","Left",20258.15,18,22,3,21,24,3,0,3,1,0.814432989690722,0.185567010309278
41,100,"learning",4,7,8,"right","Right",963.28,34,37,8,33,36,7,1,8,2,0,1
41,101,"learning",4,8,7,"left","Left",1939.34,38,32,8,36,33,7,1,8,1,0.627397260273973,0.372602739726027
41,102,"learning",4,8,7,"left","Left",1746.78,37,33,8,36,33,7,1,8,1,0.436554132712456,0.563445867287544
41,103,"learning",4,8,7,"left","Right",1611.14,37,35,7,36,33,7,0,7,2,0.249101796407186,0.750898203592814
41,104,"learning",4,7,8,"right","Left",6306.66,30,36,7,33,36,7,0,7,1,0.556451612903226,0.443548387096774
41,105,"learning",1,1,2,"right","Right",1149.21,16,18,2,15,18,1,1,2,2,0.154031287605295,0.845968712394705
41,106,"learning",4,8,7,"left","Left",4118.97,34,36,8,36,33,7,1,8,1,0.729166666666667,0.270833333333333
41,107,"learning",4,8,7,"left","Right",936.32,36,32,7,36,33,7,0,7,2,0,1
41,108,"learning",1,2,1,"left","Left",931.18,18,14,2,18,15,1,1,2,1,1,0
41,109,"learning",2,4,3,"left","Right",2109.68,26,20,3,24,21,3,0,3,2,0,1
41,110,"learning",3,5,6,"right","Left",599.1,25,28,5,27,30,5,0,5,1,1,0
41,111,"learning",4,7,8,"right","Left",1033.71,31,34,7,33,36,7,0,7,1,0.38610662358643,0.61389337641357
41,112,"learning",4,7,8,"right","Right",753.8,34,35,8,33,36,7,1,8,2,0,1
41,113,"learning",2,3,4,"right","Left",2141.08,25,23,3,21,24,3,0,3,1,0.675060926076361,0.324939073923639
41,114,"learning",2,3,4,"right","Right",3369.36,18,27,4,21,24,3,1,4,2,0.395577395577396,0.604422604422604
41,115,"learning",3,5,6,"right","Left",1760.01,29,31,5,27,30,5,0,5,1,0.52046783625731,0.47953216374269
41,116,"learning",4,8,7,"left","Right",1812.93,36,30,7,36,33,7,0,7,2,0.189063948100093,0.810936051899907
41,117,"learning",2,3,4,"right","Left",1644.22,20,23,3,21,24,3,0,3,1,0.698841698841699,0.301158301158301
41,118,"learning",4,8,7,"left","Right",1493.17,33,36,7,36,33,7,0,7,2,0.306030603060306,0.693969396939694
41,119,"learning",1,1,2,"right","Right",3414.18,16,14,2,15,18,1,1,2,2,0,1
41,120,"learning",2,4,3,"left","Left",3182.06,26,19,4,24,21,3,1,4,1,0.654882154882155,0.345117845117845
41,121,"transfer",100,3,2,"left","Right",3350.59,NA,NA,2,21,18,2,0,2,2,0.175324675324675,0.824675324675325
41,122,"transfer",100,2,8,"right","Left",2325.6,NA,NA,2,18,36,7,0,2,1,0.509565217391304,0.490434782608696
41,123,"transfer",100,8,5,"left","Right",1934.54,NA,NA,5,36,27,7,0,5,2,0.152091254752852,0.847908745247148
41,124,"transfer",100,7,5,"left","Left",1480.39,NA,NA,7,33,27,6,1,7,1,0.364705882352941,0.635294117647059
41,125,"transfer",100,3,4,"right","Left",1406.55,NA,NA,3,21,24,3,0,3,1,0.556521739130435,0.443478260869565
