"subject","trial_number","context","available_option_1","available_option_2","LEFT_INDEX","UP_INDEX","RIGHT_INDEX","DOWN_INDEX","CHOICE_KEY","RT","Left_Outcome","Up_Outcome","Right_Outcome","Down_Outcome","Points","chosen_option","EV_1","EV_2","correct_option","correct","option_1","option_2","option_3","option_4","avail_1","avail_2","choice","choice_id","outcome_1","outcome_2","outcome_3","outcome_4","pre_fix_1","pre_fix_2","pre_fix_3","pre_fix_4","pre_fix_avail_1","pre_fix_avail_2","post_fix_1","post_fix_2","post_fix_3","post_fix_4"
47,15,"PSC",0,2,2,3,1,0,"Left",3243.44,45,31,20,24,451,2,20,47,2,1,5,6,7,8,5,7,7,2,24,20,45,31,0.277777777777778,0,0.722222222222222,0,0.277777777777778,0.722222222222222,1,0,0,0
47,16,"PSC",1,3,0,2,3,1,"Down",1404.77,17,46,28,25,476,1,23,30,3,0,5,6,7,8,6,8,6,1,17,25,46,28,0.101298701298701,0.672727272727273,0,0.225974025974026,0.672727272727273,0.225974025974026,0,0.333333333333333,0,0.666666666666667
47,17,"NSC",2,3,0,1,2,3,"Right",1677.55,14,35,39,29,515,2,40,30,2,1,1,2,3,4,3,4,3,1,14,35,39,29,0,0.112449799196787,0.43574297188755,0.451807228915663,0.43574297188755,0.451807228915663,0,0,1,0
47,18,"NSC",0,2,2,0,3,1,"Left",1548.13,41,11,31,36,556,2,13,40,2,1,1,2,3,4,1,3,3,2,11,36,41,31,0.282456140350877,0.149122807017544,0.568421052631579,0,0.282456140350877,0.568421052631579,0.587570621468927,0.412429378531073,0,0
47,19,"NSC",0,2,0,1,3,2,"Down",1361.4,15,36,29,41,597,2,13,40,2,1,1,2,3,4,1,3,3,2,15,36,41,29,0.352095808383234,0,0.647904191616766,0,0.352095808383234,0.647904191616766,0,0,0,0
47,20,"PSC",2,3,1,2,3,0,"Up",1736.79,25,47,30,15,644,2,47,30,2,1,5,6,7,8,7,8,7,1,15,25,47,30,0,0,0.778837814397225,0.221162185602775,0.778837814397225,0.221162185602775,0,0,0.375527426160338,0.624472573839662
47,21,"NSC",2,3,2,1,3,0,"Left",1059.51,39,38,34,15,683,2,40,30,2,1,1,2,3,4,3,4,3,1,15,38,39,34,0,0.208469055374593,0.312703583061889,0.478827361563518,0.312703583061889,0.478827361563518,0,0.27217125382263,0.192660550458716,0.535168195718654
47,22,"NSC",0,2,0,3,1,2,"Down",1569.25,16,31,38,40,723,2,13,40,2,1,1,2,3,4,1,3,3,2,16,38,40,31,0.593202883625129,0,0.406797116374871,0,0.593202883625129,0.406797116374871,0,0,1,0
47,23,"NSC",1,2,1,2,3,0,"Up",1677.15,38,41,31,15,764,2,37,40,2,1,1,2,3,4,2,3,3,2,15,38,41,31,0.158695652173913,0.343478260869565,0.497826086956522,0,0.343478260869565,0.497826086956522,0,0,1,0
47,24,"NSC",0,3,3,2,1,0,"Left",1722.18,28,43,35,18,792,3,13,30,3,1,1,2,3,4,1,4,4,2,18,35,43,28,0.277951933124347,0,0.304075235109718,0.417972831765935,0.277951933124347,0.417972831765935,0.425720620842572,0,0,0.574279379157428
